,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
873,201900013333,138 281 642,B01,1,1,0,2,6,19,5,,13,9,2019,08:30,1,75,75120,2,4,1,3,RUE DES FOUGERES,48.8712234,2.4106896
874,201900013334,138 281 639,A01,2,1,0,2,1,9,5,,13,9,2019,08:20,1,75,75120,2,1,8,1,AVENUE GAMBETTA,48.8642975,2.3930598
875,201900013335,138 281 637,B01,1,2,0,2,8,1,1,,13,9,2019,20:55,5,75,75118,2,2,8,3,AVENUE DE LA PORTE DE SAINT OUEN,48.8977296,2.3290245
876,201900013336,138 281 636,A01,1,33,0,2,3,18,1,,13,9,2019,17:20,1,75,75117,2,1,1,3,AVENUE DE LA GRANDE ARMEE,48.8751275,2.2908103
877,201900013337,138 281 634,A01,1,32,0,1,1,1,1,,13,9,2019,15:15,1,75,75117,2,1,1,6,RUE DE ROME,48.8871533,2.3146161
878,201900013339,138 281 631,A01,2,33,0,2,1,2,1,,12,9,2019,16:00,1,75,75116,2,7,1,2,AVENUE DE LA GRANDE ARMEE,48.876111,2.287108
879,201900013340,138 281 629,B01,2,33,0,2,8,16,1,,13,9,2019,17:30,1,75,75107,2,2,1,3,AVENUE DE SUFFREN,48.854635,2.2954969
880,201900013341,138 281 628,A01,1,1,12,0,8,14,5,,13,9,2019,16:00,1,75,75115,2,1,1,6,BOULEVARD VICTOR,48.835747,2.279887
881,201900013342,138 281 627,A01,2,1,12,0,1,14,5,,13,9,2019,09:35,1,75,75115,2,1,1,6,BOULEVARD VICTOR,48.835206,2.2816935
882,201900013343,138 281 626,B01,2,33,0,2,3,14,1,,12,9,2019,16:40,1,75,75114,2,4,1,3,AVENUE DU MAINE,48.838561,2.322608
883,201900013344,138 281 624,B01,2,30,0,2,3,1,1,,13,9,2019,14:20,1,75,75113,2,2,1,3,RUE NEUVE TOLBIAC,48.831051,2.377576
